,0,score,known
442,BCL2L1,0.7810919239717989,0
443,CPA3,0.7803882892493185,0
444,TNFRSF9,0.7790206537917448,0
445,GPC1,0.7785164016073302,0
446,PDXP,0.778131292459175,0
447,IL18R1,0.7780529048104046,0
448,RETSAT,0.7772010788443957,0
449,PRDX1,0.7768043214862601,0
450,TSSK4,0.7767065778568756,0
451,SERPINB9,0.7764862358384857,0
452,ANGPTL3,0.7754323577530412,0
453,IL1RL1,0.7752495565536959,0
454,PEX3,0.7750679946373843,0
455,JAK3,0.7749220466382957,0
456,TIRAP,0.7744714320362859,0
457,SMOX,0.7743854905241776,0
458,CDH2,0.7740617032463986,0
459,ABCB11,0.773189991150539,0
460,COMT,0.7723412271230795,0
461,BAAT,0.7719319491300835,0
463,MRC1,0.7716458460112743,0
466,VDR,0.7703323882964821,0
467,DHRS9,0.7702914814348706,0
468,ERN1,0.7700487469577457,0
469,AGMAT,0.7700204258836904,0
470,CCL26,0.7697726951348989,0
471,TNFSF11,0.769597322701057,0
472,ECI2,0.7693437737624448,0
473,SLC25A29,0.7691299586300097,0
474,PEX11B,0.7690507386037633,0
475,IL15,0.7690182725406148,0
476,FGF13,0.7686071230930596,0
477,APOL1,0.7684992484914009,0
478,IL2RA,0.7683923219988118,0
479,SLC25A17,0.7681810674071531,0
481,MAP2K3,0.7680150943745968,0
482,HIGD1A,0.7679944433556714,0
483,CD69,0.7675946099974278,0
485,ACOT1,0.7671784874753234,0
487,FAHD2A,0.7669755156545918,0
488,ADH5,0.7669527208740307,0
489,ALDH6A1,0.7669485923695617,0
490,PAOX,0.766731029802083,0
491,ACADM,0.7666200046572698,0
492,IL2RG,0.7663076565434579,0
493,ACOT2,0.7662700518811818,0
494,ANKRD1,0.7656905850224552,0
495,TGS1,0.7656777588320922,0
496,MBTPS2,0.7655025327365643,0
497,PROC,0.7652244204037255,0
498,LRP12,0.7646195171088189,0
499,HBEGF,0.7645141613431129,0
500,PTN,0.7640148630738507,0
502,ECI1,0.7635358832097603,0
503,PEX12,0.7628667454866579,0
504,CCL5,0.7625498768633954,0
505,PTGES2,0.762435100105494,0
506,HNF1A,0.7624047406837583,0
507,DMP1,0.7620860774540283,0
508,DDO,0.7617543303805374,0
509,MAGED1,0.7617200291844789,0
511,RERE,0.761326414543063,0
512,CTAGE6,0.7610653121405804,0
513,PRKCSH,0.7605512838707912,0
515,DUSP4,0.7600267431843858,0
516,ACSS1,0.7594296577371994,0
517,S100A8,0.7593616092068302,0
518,CALU,0.7593219203820002,0
520,DUSP9,0.7585782697687374,0
521,ALDH3A2,0.7581631497674981,0
522,FSTL3,0.7580175066415,0
523,SERPINA6,0.7579087945749345,0
524,UGT1A1,0.757520023888735,0
525,MAP2K4,0.757358938308408,0
526,CTF1,0.7572620295096454,0
528,MFGE8,0.7565594193220284,0
529,TLR5,0.7563821479139099,0
530,UGT1A10,0.7559431165100333,0
531,SLC6A4,0.75587749327965,0
532,MAPK8IP1,0.755867602076622,0
534,NR0B1,0.7554858021273464,0
535,ALDH1A2,0.7553214334777572,0
536,FASLG,0.7547245865745281,0
537,CYP2D6,0.7547018251708215,0
538,IGF1R,0.754444889372841,0
539,TLR7,0.7544348803204799,0
540,MBTPS1,0.7544327137403,0
541,BCL2L11,0.7541672910970342,0
542,SERPINE1,0.7540733645787417,0
543,SHBG,0.7535874777686475,0
544,IL2RB,0.7535372195151553,0
545,ALOX5AP,0.7534550164448033,0
547,JAK1,0.7532051411715847,0
548,RDH10,0.7528155716039953,0
550,MAPK8IP2,0.7527049489298366,0
551,DDAH2,0.7521673955016219,0
552,SRXN1,0.7516508545865943,0
553,HYAL3,0.7514969848376846,0
555,IL22RA1,0.7510466106865785,0
556,MMP3,0.7509489796974488,0
558,PROCR,0.7503938263207935,0
559,CREB3L1,0.7502911334287393,0
560,GLO1,0.7496762142848927,0
561,HELZ2,0.7496642626435253,0
562,ENSG00000259040,0.749558398665512,0
