,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
CENICRIVIROC,-4.9747067000000005,1.64409736,-0.429442785,2.27451375,2.32253565,-2.3456083999999997,3.6072379000000003,-2.7347573,1.39271164,0.216742867,2.06792254,1.5116778499999999,-0.82679944,-3.4737009,-0.044097064000000005,0.69598036,-0.98926238,0.9450397500000001,3.7449733,-1.55558504,0.23987833000000003,-0.229356433,-1.2952409,0.83970189,1.28749956,1.2841524,-2.2021998,-4.9519675,-3.8486471,-1.84566307,-2.7798103000000003,-1.52202476,1.3864390599999998,-1.2814871,-1.8075239,-2.2750503,0.049670290000000006,-0.44881806999999996,-0.57958354,-1.45353684,0.66619709,3.5827278,-1.6635902,2.0442768,1.8961023,-0.20115783999999998,0.43849644,-1.5044474399999999,0.0896347862,0.7747299500000001,1.19125633,1.8097976,-0.423607446,2.4410451,1.8419232,4.6843293,3.5107267,1.8276808,-0.04512148000000002,-0.39460815000000005,7.7301117999999995,0.47403635,2.2010942499999997,-6.232126900000001
CHOLESTEROL_HOMEOSTASIS,-21.1547450694,-23.9087472644,-55.947321699,17.2866013783,10.173603613,-14.416520339,-9.084096491999999,-58.482790700500004,-4.3589174785,24.183930097,46.425332939,1.3558989188,-1.4800385659999995,-34.610348471,43.2403180207,10.9010353397,-15.901073404699998,-32.110042218000004,15.990150650999999,16.722801347,-49.1038182558,-46.040262304,-40.5063593784,-63.3756874057,-0.09056993900000054,-75.4019496565,9.114273788,-19.8762782194,-6.479781472900001,39.396054395200004,20.135553290999997,-9.085362230000001,9.633215236,-36.035342696,-25.053407146999998,-1.3028539189999997,-20.44840492,-56.2689056717,80.274386707,6.061270554999998,0.9334701343999994,27.669929188999998,-2.380653141,21.188100975900003,12.623637159000001,4.195306199000001,14.070815566300002,46.920275277,-59.267617286299995,15.258767074999998,14.504376946799999,51.874942483,0.4356766439999973,53.420878432,4.562865227999999,29.648548259200002,-64.05975998139999,28.407835654,9.438361942999999,-30.108672624,17.141305075,-25.9953779032,40.943946915,41.763328836
COAGULATION,-14.414255872699993,-120.625856205287,-118.1994657195,81.03184940099999,-100.0983371109,19.91007184,22.5222985777,-67.105448658,9.245870525099999,91.01402524,14.2772297,49.69730609818001,18.6423683112,-64.01451000200001,-5.3639590276,-65.911078222,-104.75292587000001,149.4315651384,10.775919113839999,90.18297182680001,-39.0275872841,-14.952416829399999,-4.261715177099999,-23.323961206,52.89550349239,29.6127343315,-49.7476206089,-83.4674591029,13.52718807,67.86691826200001,-75.51948260400002,-128.81200861250002,78.08451159690001,-13.010792217199999,3.6703062679000045,47.10936602299999,36.760214463699995,28.72341939629999,23.3690105441,13.448842033499998,41.099882096,-27.687662678890003,4.746297372,54.65027205249999,22.9086228143,-52.8917053595,-78.5036311,43.3583100429,-22.58268118768,-57.378816031300005,-87.36752632900001,177.83503621349996,28.994108407,156.82802659170002,14.862197608399999,134.54366706960002,10.415835146200006,28.6126146355,43.9861831782,20.452079725699996,121.895118328,-45.8474199348,133.3149795552,-117.99574232840001
COMPLEMENT,-81.5862400337,-151.910778022,-85.7733308455,58.94275690960001,-99.40144367799999,-11.102422375700002,77.24048384919999,-50.44136960100002,48.6973743718,141.39727642699998,-18.467500748,63.321237290179994,-15.016573281605998,-61.133709417800006,5.432815091100007,-72.4307223432,-102.9981597593,130.443675416,15.105888253340002,137.9894859837,-104.0448432969,-19.215297692000004,-39.7315522545,-7.7199657220999995,26.73028347579,-0.7603058184699982,-43.494586839899995,-84.47236012780002,-11.546685395,-32.3958842709,-63.94950197439999,-103.7707080021,106.1156421698,-31.224201624099997,23.416953822000007,37.013492881000005,30.318995989,15.995214446999997,18.936851297,27.759147907500004,127.491383524,27.276091735399994,0.5264529657000061,111.191423532,29.9973562172,-57.20575835389999,-109.1470964124,-12.394607835099997,-5.068603303800003,-40.5941044523,-12.038274613999999,174.9338059205,6.777078218,160.3367312487,5.034659229599997,147.28815039958002,71.58614997059999,14.657184882599998,50.1959279049,44.3924618875,151.60386215760002,-23.877806673900007,95.67141509359999,-55.539825860899995
DNA_REPAIR,7.365175870700002,58.1314440545,65.643057736,-231.04662586380002,107.04789919520002,150.98135735435,-167.687500126,155.6648966678,26.3079213615,-26.143588396199995,91.77434318000002,-123.93917866700002,-47.5554888323,40.651230607,-45.348997711,188.373123813,54.4683447216,73.519365558,-5.534333161270004,-183.219884578,-122.823267684,-22.269103012,-161.31947168000005,34.1221057649,64.37160041180002,-157.39574833768,61.831392986,149.2691910905,43.3433262005,65.3570857727,186.9467380087,214.10169689468998,-15.14604295,-58.536885573,-22.600084257499994,82.0857723443,-86.9849860045,-22.645993500799996,184.7650714115,-46.85409844641,-132.92093044348002,-30.570250695812007,63.971582989,-129.4771912246,-13.528155649999999,-17.859774683999998,-17.4797755165,63.603890611000004,39.3960048598,102.66563382959998,-18.999652328,-98.19456078850001,-29.853644936,-146.984464125,-68.21935594263,-62.89083251800001,8.8503549574,0.5024392829999986,-41.7258897564,154.287540975,-63.2740875855,-26.693351990299995,-106.8133629046,-66.5078095002
E2F_TARGETS,113.706851346,-31.494788381999996,72.6620693022,-218.26471980320002,216.03723067110002,296.8455269492,-73.193860177,192.34405049219998,57.4707690016,123.6851620015,-94.8330354695,-127.993087371,-217.4167900372,-6.495195454370002,-50.3149360564,80.473517524,61.173026933130004,49.504813343,-230.30502111459998,-195.776926845,-162.294979319,-86.874250416,-74.09987333000001,137.83155695073998,-6.876419996000002,-178.07001607400002,32.083247579,118.1972490154,95.9841193493,-141.949153397,224.446968287,193.84262582899999,43.798624696299996,-27.6613231877,4.071065215099998,226.793435337,-116.62029503,59.54229540299999,108.45236203799999,-123.79679265,-94.571660917,-209.898226448412,188.932114654,-159.38657752799998,-122.995452611,-39.8882763215,7.9402013085000025,10.233950078999998,194.425143896,36.702790703,14.8198061889,-119.33193237399999,28.021932037200003,-255.7494501318,-226.4975565532,-223.768387806,-7.416552748100003,-0.5849492663999993,-72.411607307,148.38704114479998,-90.53064839040002,130.6770781806,-43.980276790800005,106.58614027280001
ELAFIBRANOR,-0.55448669,-6.7800610599999995,-4.0087915480000005,-2.06598074,4.348031150000001,-0.8848190000000002,5.385473000000001,3.44883761,-3.1460198000000004,4.3289162,-1.79991882665,-0.70124907,1.7881829100000002,-2.49054538,2.8482017,3.059768968,-1.11105657,-6.1677794,-0.12521507999999992,-2.39339807,-6.481748400000001,-1.65606563,-5.4878111,-4.04088815,2.5636973000000003,-7.538505860000001,-2.52933208,-3.37983936,-1.4467236464,-0.5393245600000001,-1.82934896,0.9027293999999999,-0.24348581000000002,-1.18222945,2.20326806,1.8410142640000005,-0.38477557000000007,0.25819290000000006,5.0826475,5.0038420200000004,-2.78248862,0.485896206,-4.0454320500000005,2.13897545,1.0495112899999999,3.0522514000000003,-0.76685102,0.6835137200000001,0.3941920700000001,-1.14195767,1.9713044700000002,3.70649665,-3.1941227599999995,1.11831959,1.8787844799999998,4.83567368,-6.7411481,3.2453928700000003,-0.7387274399999999,-1.78419425,2.04964636,-1.680840346,2.4063242323,2.61247582
EMRICASAN,-32.9543143,3.565416291,-2.9295517799999997,-12.598868800000002,-11.89661353,-12.879987790000001,3.87391175,3.349018752,-4.9579854,2.444439692,-8.98903056,0.2913350200000001,5.882352633999999,2.563186496,-13.969029450000003,5.537681731,-7.73284046,0.5195859200000004,4.47351906854,6.8701484399999995,-15.525537439999999,3.04309686,-0.09235336000000002,-8.10873556,-4.641363334,3.657318075,-0.3406272439999998,0.4335446740000001,13.36325773,-3.609469208,10.1567942,11.988214870000002,10.6289953,4.222206299999999,14.684549019999999,2.842148705,-0.26677885000000007,-6.42343881,-10.98179676,-3.659736114,8.63719599,-0.9896718014000001,-10.2853247,-9.60052351,9.91056256,-5.10321601,-4.6169379699999995,9.60751151,10.610407239999999,1.0938518604000003,-8.641472115,10.705131363999998,-0.4343993740000005,3.4965402780000003,3.7752774599999994,5.88589551,0.793093605,0.9519075139999998,-11.1306064,2.25861365,-0.539734826,-0.02927267199999989,-1.0800490070000004,3.6184573749999998
EPITHELIAL_MESENCHYMAL_TRANSITION,-52.9304804362,-175.8396212887,-124.21758923770001,107.8281546356,-202.162374193,5.657776138999998,64.5661136894,-96.1449140049,29.027711431300002,109.379454844,-7.4113575778000005,29.6458781903,34.168721332100006,-74.0932254427,-13.470803162,-2.280744352600001,-109.46208767499999,78.7350021812,0.40215274770000153,120.63633221844998,-92.17098429970001,23.624283266999996,1.2542417539999988,52.312730473,45.443623368900006,128.42114283429999,96.74572548399999,-43.39728327500001,57.177159863499995,154.14527309919998,32.542651086999996,-118.73601478,150.9333728406,0.7975563977999998,51.7591909776,137.6637824734,-9.427409161799996,42.810886491000005,8.8032022758,-72.8924961628,38.8938331275,-13.715571871200005,56.293746967800004,39.933494224,38.847615166,-86.442134074,-106.2754541155,21.596787236600004,1.6462388586600012,-32.65691624362999,-146.13743425797,259.36973957208,40.7593029133,209.790341689,70.8335984103,131.5932077366,-13.892458687599998,33.314350102000006,85.57288238942999,10.519675729099998,149.7546368496,-21.8968588097,174.35094788517,-101.5017324824
ESTROGEN_RESPONSE_EARLY,-71.12220292449999,-29.969448582,-63.733378463,15.675174973800008,30.550103249000003,-2.8083650080000027,30.6428734023,-1.9448097205999986,21.969738210850004,34.00072107015,31.773298104000006,16.2083456362,-25.422999906900003,-15.922161519500001,46.464924884,44.69927829979999,-34.6790039564,-59.406508486,6.8592113696000006,53.1620774242,-71.1463888425,-39.9615812605,-53.44230052320001,-37.7173406397,20.571933541,-39.3511386876,40.594373396600005,-17.042612650200006,-3.0746153025,26.560382771100002,22.099990188999996,-37.64440076818,-6.997956580260002,-47.505305967599995,-11.2324617975,50.3479472489,-18.60038885878,-21.1613479675,48.011584544524,2.529287678919997,8.744713667900001,81.1316764165,31.6629960892,62.95862964199999,63.068735335184996,-13.9802831401,-23.38353855397,13.127004276400001,-27.007807979100004,22.7859411947,17.3716945102,74.6820734255,16.1503860093,98.89843039990001,-0.6766496079260023,65.774847432,-12.677304079000002,43.945816232430005,17.79085113,51.002315541499996,59.492493027,-30.2694235664,27.239110138,42.5614102304
