gene,module
ITGAM,ME 24
ITGAX,ME 5
ITGB1,ME 3
ITGB2,ME 12
ITGB2,ME 24
ITGB3,ME 5
ITGB4,ME 29
ITGB5,ME 9
ITGB7,ME 6
ITIH1,ME 8
ITIH2,ME 8
ITIH3,ME 8
ITIH4,ME 8
ITIH4,ME 8
ITM2B,ME 7
ITPA,ME 18
ITPK1,ME 13
ITPKB,ME 17
ITPR1,ME 2
ITPR2,ME 10
ITPR3,ME 1
ITSN2,ME 2
IVD,ME 9
IVNS1ABP,ME 2
IWS1,ME 2
JADE2,ME 16
JAK1,ME 10
JAK3,ME 30
JMJD1C,ME 2
JMJD7,ME 1
JUN,ME 3
JUNB,ME 2
JUND,ME 6
KANSL2,ME 6
KANSL3,ME 1
KARS,ME 3
KAT2A,ME 2
KAT6A,ME 16
KAT6B,ME 11
KAT7,ME 22
KAT8,ME 21
KATNAL2,ME 1
KCMF1,ME 1
KCNA2,ME 17
KCNA3,ME 17
KCNAB2,ME 10
KCTD15,ME 5
KCTD5,ME 3
KDELC2,ME 10
KDELR2,ME 5
KDM1A,ME 1
KDM2A,ME 25
KDM2B,ME 2
KDM3A,ME 6
KDM4B,ME 15
KDM5A,ME 1
KDM8,ME 3
KDSR,ME 40
KEAP1,ME 9
KHDRBS1,ME 4
KHK,ME 35
KHSRP,ME 3
KIAA0020,ME 14
KIAA0196,ME 9
KIAA0226,ME 2
KIAA0226L,ME 15
KIAA0368,ME 2
KIAA0391,ME 1
KIAA0513,ME 7
KIAA0930,ME 13
KIAA1033,ME 9
KIAA1147,ME 1
KIAA1429,ME 12
KIAA1598,ME 27
KIF11,ME 5
KIF13A,ME 7
KIF13B,ME 41
KIF18B,ME 7
KIF21A,ME 1
KIF21B,ME 1
KIF22,ME 5
KIF2A,ME 6
KIF2A,ME 1
KIF3A,ME 1
KIF3B,ME 1
KIF5B,ME 5
KIF5C,ME 3
KIR2DL3,ME 20
KIR3DL1,ME 15
KLC1,ME 8
KLC1,ME 9
KLC2,ME 3
KLC4,ME 10
KLF2,ME 6
KLF4,ME 27
KLHDC4,ME 3
KLHL14,ME 7
KLHL22,ME 1
KLKB1,ME 8
KLRB1,ME 6
KLRC1,ME 29
KLRD1,ME 29
KLRG1,ME 29
KLRK1,ME 22
KMO,ME 15
KMT2A,ME 16
KMT2D,ME 12
KNG1,ME 8
KNG1,ME 8
KNTC1,ME 5
KPNA1,ME 3
KPNA3,ME 3
KPNA4,ME 10
KPNA6,ME 1
KPNB1,ME 12
KRAS,ME 10
KRI1,ME 25
KRIT1,ME 2
KRR1,ME 14
KRTCAP2,ME 4
KSR1,ME 5
KTI12,ME 3
KTN1,ME 3
KXD1,ME 1
KYNU,ME 23
L2HGDH,ME 2
L3HYPDH,ME 18
L3MBTL3,ME 6
LACC1,ME 5
LACE1,ME 1
LACTB2,ME 4
LAGE3,ME 1
LAIR1,ME 5
LAMB1,ME 15
LAMP1,ME 26
LAMP2,ME 24
LAMTOR1,ME 13
LAMTOR2,ME 9
LAMTOR3,ME 5
LAMTOR4,ME 13
LAMTOR5,ME 13
LANCL1,ME 1
LAP3,ME 36
LAPTM5,ME 5
LARP1,ME 3
LARP4B,ME 3
LARP7,ME 4
LARS,ME 3
LARS2,ME 14
LAS1L,ME 1
LASP1,ME 24
LAT,ME 17
LAT2,ME 19
LBP,ME 8
LBR,ME 6
LCAT,ME 8
LCK,ME 17
LCLAT1,ME 34
LCMT1,ME 10
LCN2,ME 20
LCP1,ME 10
LCP2,ME 39
LDB1,ME 2
LDHA,ME 20
LDHA,ME 13
LDHB,ME 6
LDHD,ME 5
LDLRAP1,ME 11
LECT1,ME 33
LEF1,ME 17
LEMD2,ME 1
LEMD3,ME 1
LENG8,ME 1
LEPRE1,ME 5
LEPROT,ME 19
LETM1,ME 11
LGALS1,ME 18
LGALS12,ME 7
LGALS3,ME 13
LGALS3BP,ME 1
LGALS8,ME 4
LGALS9,ME 13
LGMN,ME 3
LHPP,ME 2
LIG1,ME 14
LIG3,ME 2
LILRA2,ME 7
LILRA4,ME 28
LILRA5,ME 7
LILRA6,ME 5
LILRB1,ME 19
LILRB2,ME 5
LILRB3,ME 7
LILRB3,ME 7
LILRB4,ME 36
LILRB4,ME 28
LIMA1,ME 17
LIMD1,ME 4
LIMK1,ME 2
LIMS1,ME 7
LIMS1,ME 2
LIMS1,ME 7
LIN37,ME 17
LIN54,ME 11
LIN7A,ME 19
LIN7C,ME 4
LIPA,ME 12
LIPT2,ME 3
LLGL1,ME 1
LLPH,ME 25
LMAN1,ME 38
LMAN2,ME 13
LMBRD1,ME 5
LMCD1,ME 8
LMF2,ME 3
LMNA,ME 17
LMNA,ME 6
LMNB1,ME 1
LMNB2,ME 16
LMO7,ME 16
LNPEP,ME 12
LOH12CR1,ME 10
LONP1,ME 14
LOXL3,ME 32
LPA,ME 8
LPCAT1,ME 29
LPCAT2,ME 7
LPCAT2,ME 20
LPCAT3,ME 9
LPCAT4,ME 2
LPGAT1,ME 42
LPIN1,ME 18
LPIN2,ME 1
LPL,ME 33
LPP,ME 38
LPXN,ME 4
LRAT,ME 20
LRCH1,ME 2
LRCH3,ME 2
LRCH4,ME 1
LRG1,ME 26
LRP1,ME 27
LRPAP1,ME 13
LRPPRC,ME 3
LRRC40,ME 2
LRRC47,ME 18
LRRC57,ME 13
LRRC8A,ME 1
LRRC8C,ME 30
LRRC8D,ME 11
LRRFIP1,ME 9
LRRFIP1,ME 5
LRRFIP2,ME 32
LRRK2,ME 5
LRSAM1,ME 10
LRWD1,ME 16
LSG1,ME 3
LSM1,ME 1
LSM12,ME 4
LSM14A,ME 6
LSM2,ME 1
LSM3,ME 2
LSM4,ME 2
LSM5,ME 2
LSM6,ME 1
LSM7,ME 4
LSM8,ME 4
LSP1,ME 20
LSP1,ME 20
LSP1,ME 4
LSS,ME 2
LTA4H,ME 13
LTB4R,ME 7
LTBP1,ME 5
LTBP4,ME 33
LTC4S,ME 32
LTF,ME 20
LTN1,ME 10
LTV1,ME 14
LUC7L,ME 11
LUC7L2,ME 2
LUC7L3,ME 34
LUM,ME 8
LXN,ME 10
LY75,ME 45
LY86,ME 23
LY9,ME 17
LY96,ME 27
LYAR,ME 4
LYN,ME 19
LYN,ME 19
LYPD2,ME 5
LYPLA1,ME 47
LYPLA2,ME 4
LYPLAL1,ME 1
LYRM4,ME 34
LYRM5,ME 6
LYST,ME 5
LYZ,ME 7
LZTFL1,ME 3
LZTR1,ME 2
M6PR,ME 31
MACF1,ME 11
MACF1,ME 7
MACROD1,ME 21
MAD1L1,ME 12
MADD,ME 39
MAEA,ME 2
MAF1,ME 6
MAFF,ME 1
MAFG,ME 5
MAFK,ME 6
MAGED2,ME 2
MAGOH,ME 2
MAGOHB,ME 2
MAGOHB,ME 1
MAGT1,ME 37
MAK16,ME 14
MALT1,ME 1
MAN1A1,ME 38
MAN1A2,ME 14
MAN2A1,ME 43
MAN2B1,ME 41
MAN2B2,ME 26
MANBA,ME 26
MANF,ME 4
MAP1A,ME 28
MAP1LC3B,ME 5
MAP1LC3B2,ME 5
MAP1S,ME 10
MAP2,ME 15
MAP2,ME 33
MAP2K1,ME 38
MAP2K2,ME 32
MAP2K3,ME 7
MAP2K4,ME 1
MAP2K6,ME 18
MAP2K6,ME 22
MAP3K1,ME 9
MAP3K11,ME 5
MAP3K2,ME 10
MAP3K3,ME 2
MAP3K4,ME 11
MAP3K5,ME 1
MAP3K7,ME 1
MAP3K8,ME 2
MAP4,ME 3
MAP4K1,ME 4
MAP4K2,ME 6
MAP4K4,ME 20
MAP4K4,ME 11
MAPK1,ME 10
MAPK13,ME 16
MAPK14,ME 9
MAPK14,ME 46
MAPK3,ME 10
MAPK8,ME 3
MAPK9,ME 1
MAPKAP1,ME 1
MAPKAPK2,ME 13
MAPKAPK3,ME 13
MAPKAPK5,ME 10
MAPRE1,ME 9
MAPRE2,ME 4
MARCKS,ME 19
MARCKSL1,ME 15
MARK2,ME 9
MARS,ME 3
MARS2,ME 2
MAST3,ME 2
MAT1A,ME 33
MAT2A,ME 43
MAT2B,ME 18
MATK,ME 29
MATN1,ME 6
MATR3,ME 6
MATR3,ME 17
MAU2,ME 2
MAVS,ME 18
MAX,ME 1
MB21D1,ME 18
MBD1,ME 16
MBD2,ME 18
MBD3,ME 6
MBD4,ME 15
MBNL1,ME 4
MBNL1,ME 2
MBOAT7,ME 9
MBP,ME 1
MCAT,ME 3
MCC,ME 28
MCC,ME 2
MCCC1,ME 2
MCCC2,ME 11
MCEMP1,ME 7
MCM2,ME 6
MCM3,ME 6
MCM3AP,ME 2
MCM4,ME 6
MCM5,ME 6
MCM6,ME 6
MCM7,ME 6
MCMBP,ME 2
MCRS1,ME 1
MCTS1,ME 31
MCU,ME 9
MCUR1,ME 14
MDC1,ME 4
MDFIC,ME 6
MDH1,ME 25
MDH2,ME 11
MDN1,ME 1
ME2,ME 45
MEAF6,ME 1
MECP2,ME 16
MED1,ME 12
MED12,ME 1
MED13,ME 1
MED13L,ME 9
MED14,ME 12
MED15,ME 2
MED16,ME 4
MED17,ME 1
MED20,ME 31
MED22,ME 1
MED23,ME 12
MED24,ME 12
MED29,ME 4
MED30,ME 2
MED31,ME 4
MED7,ME 2
MED8,ME 2
MED9,ME 4
MEF2A,ME 15
MEF2C,ME 15
MEF2C,ME 15
MEF2D,ME 3
MEFV,ME 7
MEMO1,ME 10
MEN1,ME 16
MEOX1,ME 18
MEPCE,ME 2
MESDC2,ME 5
MET,ME 3
METAP1,ME 3
METAP2,ME 3
METTL1,ME 6
METTL13,ME 11
METTL14,ME 1
METTL3,ME 2
METTL7A,ME 19
METTL9,ME 9
MEX3C,ME 6
MFAP1,ME 1
MFAP5,ME 33
MFF,ME 4
MFN2,ME 2
MFSD10,ME 10
MFSD12,ME 5
MFSD5,ME 2
MFSD8,ME 1
MGA,ME 1
MGAM,ME 20
MGAT1,ME 37
MGAT2,ME 43
MGAT3,ME 35
MGAT4A,ME 6
MGEA5,ME 12
MGLL,ME 7
MGMT,ME 16
MGST1,ME 7
MGST2,ME 24
MGST3,ME 1
MIA3,ME 5
MICAL1,ME 5
MICAL3,ME 15
MICU1,ME 10
MICU2,ME 9
MIEN1,ME 9
MIER1,ME 1
MIF,ME 4
MIF4GD,ME 18
MINK1,ME 2
MINOS1,ME 2
MINPP1,ME 8
MIOS,ME 12
MIPEP,ME 3
MKI67,ME 6
MKKS,ME 3
MKL2,ME 2
MKLN1,ME 8
MKRN2,ME 3
MLEC,ME 5
MLH1,ME 3
MLKL,ME 7
MLLT1,ME 2
MLLT3,ME 6
MLLT4,ME 1
MLLT6,ME 16
MLST8,ME 1
MLYCD,ME 6
MMAA,ME 11
MMAB,ME 3
MME,ME 20
MMP25,ME 32
MMP7,ME 20
MMP8,ME 20
MMP9,ME 20
MMRN1,ME 8
MMS19,ME 2
MNDA,ME 7
MNT,ME 2
MOB1B,ME 41
MOCS2,ME 2
MOCS2,ME 6
MOCS3,ME 4
MOGS,ME 2
MON1B,ME 10
MON2,ME 12
MOSPD2,ME 13
MOV10,ME 30
MPC2,ME 1
MPDU1,ME 37
MPEG1,ME 36
MPG,ME 4
MPHOSPH10,ME 14
MPHOSPH8,ME 2
MPI,ME 11
MPLKIP,ME 6
MPO,ME 7
MPP6,ME 6
MPP7,ME 30
MPRIP,ME 17
MPRIP,ME 16
MPST,ME 24
MPV17,ME 2
MRC1,ME 5
MRC2,ME 4
MRE11A,ME 22
MRFAP1,ME 3
MRGBP,ME 4
MRI1,ME 18
MROH1,ME 2
MRPL1,ME 14
MRPL10,ME 1
MRPL11,ME 14
MRPL12,ME 3
MRPL12,ME 6
MRPL13,ME 11
MRPL14,ME 34
MRPL15,ME 3
MRPL16,ME 14
MRPL17,ME 14
MRPL18,ME 3
MRPL2,ME 3
MRPL20,ME 3
MRPL21,ME 14
MRPL22,ME 14
MRPL24,ME 11
MRPL27,ME 3
MRPL28,ME 14
MRPL3,ME 3
MRPL32,ME 3
MRPL33,ME 16
MRPL33,ME 7
MRPL34,ME 6
MRPL35,ME 2
MRPL37,ME 14
MRPL38,ME 18
MRPL39,ME 40
MRPL4,ME 14
MRPL40,ME 4
MRPL41,ME 11
MRPL42,ME 3
MRPL43,ME 3
MRPL44,ME 14
MRPL45,ME 3
MRPL46,ME 14
MRPL47,ME 3
MRPL48,ME 3
MRPL49,ME 11
MRPL50,ME 14
MRPL51,ME 3
MRPL52,ME 3
MRPL53,ME 6
MRPL54,ME 14
MRPL55,ME 14
MRPL9,ME 3
MRPS10,ME 11
MRPS11,ME 14
MRPS14,ME 14
MRPS15,ME 5
MRPS18A,ME 3
MRPS18B,ME 14
MRPS18C,ME 6
MRPS2,ME 14
MRPS21,ME 34
MRPS22,ME 14
MRPS23,ME 3
MRPS25,ME 3
MRPS27,ME 14
MRPS30,ME 34
MRPS31,ME 3
MRPS33,ME 11
MRPS34,ME 11
MRPS35,ME 3
MRPS36,ME 4
MRPS5,ME 14
MRPS6,ME 14
MRPS7,ME 3
MRPS9,ME 14
MRRF,ME 4
MRTO4,ME 3
MS4A1,ME 15
MS4A2,ME 35
MS4A3,ME 35
MS4A6A,ME 3
MSH2,ME 11
MSH3,ME 1
MSH6,ME 3
MSI2,ME 25
MSL1,ME 21
MSN,ME 24
MSN,ME 7
MSRA,ME 13
MSRB2,ME 5
MSRB3,ME 7
MST1,ME 7
MST4,ME 21
MT-ATP6,ME 2
MT-ATP8,ME 3
MT-CO1,ME 11
MT-CO2,ME 11
MT-CO3,ME 23
MT-CYB,ME 11
MT-ND1,ME 3
MT-ND2,ME 36
MT-ND3,ME 2
MT-ND4,ME 40
MT-ND5,ME 11
MT2A,ME 44
MTA1,ME 1
MTA2,ME 22
MTAP,ME 2
MTCH1,ME 40
MTCH2,ME 40
MTDH,ME 37
MTERF4,ME 1
MTFMT,ME 2
MTG1,ME 2
MTHFD1,ME 5
MTHFD1L,ME 14
MTHFD2,ME 5
MTHFS,ME 1
MTIF2,ME 45
MTM1,ME 1
MTMR1,ME 1
MTMR12,ME 3
MTMR14,ME 2
MTMR2,ME 29
MTMR3,ME 13
MTMR6,ME 2
MTOR,ME 1
MTPAP,ME 11
MTPN,ME 15
MTSS1,ME 13
MTX1,ME 11
MTX2,ME 2
MUL1,ME 19
MUT,ME 11
MVB12A,ME 12
MVB12B,ME 6
MVD,ME 4
MVP,ME 12
MX1,ME 3
MX2,ME 40
MXD1,ME 32
MXRA7,ME 6
MYB,ME 20
MYBBP1A,ME 14
MYCBP,ME 4
MYCBP2,ME 12
MYD88,ME 10
MYH11,ME 35
MYH14,ME 1
MYH9,ME 9
MYL12A,ME 9
MYL12B,ME 2
MYL6,ME 1
MYL6B,ME 7
MYLK,ME 13
MYO18A,ME 9
MYO1C,ME 1
MYO1F,ME 24
MYO5A,ME 13
MYO9B,ME 9
MYOF,ME 27
MZB1,ME 15
NAA15,ME 3
NAA16,ME 1
NAA25,ME 14
NAA30,ME 2
NAA35,ME 14
NAA40,ME 2
NAA50,ME 4
NABP1,ME 11
NABP2,ME 4
NACA,ME 3
NACC1,ME 1
NADK,ME 7
NADK2,ME 1
NADSYN1,ME 41
NAE1,ME 4
NAGA,ME 13
NAGK,ME 47
NAGLU,ME 24
NAGPA,ME 5
NAIP,ME 7
NAMPT,ME 5
NANS,ME 36
NAP1L1,ME 3
NAP1L4,ME 3
NAPA,ME 13
NAPB,ME 5
NAPG,ME 5
NAPRT,ME 9
NARS,ME 43
NARS2,ME 11
NASP,ME 3
NAT1,ME 10
NAT10,ME 14
NBAS,ME 1
NBEAL2,ME 24
NBN,ME 1
NBR1,ME 20
NCALD,ME 17
NCAM1,ME 29
NCAM1,ME 29
NCAPD2,ME 3
NCAPG,ME 3
NCAPH,ME 5
NCBP1,ME 4
NCBP2,ME 2
NCEH1,ME 2
NCF1,ME 19
NCF1,ME 19
NCF2,ME 7
NCF4,ME 19
NCK1,ME 12
NCK2,ME 17
NCKAP1L,ME 9
NCKIPSD,ME 3
NCL,ME 25
NCLN,ME 37
NCOA1,ME 1
NCOA4,ME 7
NCOA5,ME 4
NCOA6,ME 2
NCOA7,ME 6
NCOR1,ME 1
NCOR2,ME 37
NCR1,ME 6
NCR1,ME 29
NCR3,ME 4
NCSTN,ME 9
NDC1,ME 14
NDC80,ME 7
NDE1,ME 10
NDNL2,ME 1
NDRG1,ME 1
NDRG2,ME 5
NDRG2,ME 1
NDRG3,ME 1
NDST1,ME 1
NDST2,ME 8
NDUFA10,ME 2
NDUFA11,ME 12
NDUFA12,ME 40
NDUFA13,ME 11
NDUFA2,ME 2
NDUFA3,ME 3
NDUFA4,ME 3
NDUFA5,ME 11
NDUFA6,ME 2
NDUFA7,ME 4
NDUFA8,ME 14
NDUFA9,ME 11
NDUFAB1,ME 3
NDUFAF2,ME 3
NDUFAF3,ME 11
NDUFAF4,ME 14
NDUFAF7,ME 2
NDUFB1,ME 3
NDUFB10,ME 4
NDUFB11,ME 3
NDUFB3,ME 3
NDUFB4,ME 11
NDUFB5,ME 3
NDUFB6,ME 3
NDUFB7,ME 4
NDUFB8,ME 1
NDUFB9,ME 11
NDUFC1,ME 1
NDUFC2,ME 3
NDUFS1,ME 11
NDUFS2,ME 11
NDUFS3,ME 3
NDUFS4,ME 11
NDUFS5,ME 3
NDUFS6,ME 4
NDUFS7,ME 11
NDUFS8,ME 11
NDUFV1,ME 4
NDUFV2,ME 11
NDUFV3,ME 3
NECAP2,ME 4
NEDD1,ME 1
NEDD4,ME 5
NEDD8,ME 18
NEDD9,ME 9
NEFL,ME 3
NEGR1,ME 8
NEIL1,ME 15
NEIL2,ME 16
NEK1,ME 6
NEK6,ME 5
NEK7,ME 10
NEK9,ME 12
NELFA,ME 4
NELFB,ME 12
NELFCD,ME 12
NELFE,ME 11
NEMF,ME 2
NENF,ME 13
NEU1,ME 18
NEURL1,ME 2
NFAM1,ME 5
NFATC1,ME 1
NFATC2,ME 16
NFATC2IP,ME 1
NFATC3,ME 6
NFE2,ME 7
NFIC,ME 39
NFKB1,ME 1
NFKB2,ME 34
NFKBIB,ME 2
NFKBIE,ME 4
NFRKB,ME 6
NFS1,ME 11
NFU1,ME 4
NFX1,ME 6
NFYA,ME 16
NFYB,ME 4
NFYC,ME 1
NGDN,ME 34
NGLY1,ME 4
NHEJ1,ME 4
NHLRC2,ME 41
NHLRC3,ME 26
NHP2,ME 16
NHP2L1,ME 4
NHSL2,ME 24
NIF3L1,ME 2
NIFK,ME 25
NIN,ME 6
NINJ1,ME 7
NIP7,ME 2
NIPBL,ME 2
NIPSNAP1,ME 4
NIPSNAP3A,ME 9
NIPSNAP3B,ME 19
NIT2,ME 12
NKAP,ME 4
NKIRAS2,ME 9
NKTR,ME 6
NLE1,ME 3
NLN,ME 3
NLRC3,ME 1
NLRC4,ME 5
NLRP1,ME 6
NLRP3,ME 7
NLRX1,ME 1
NMD3,ME 11
NME1-NME2,ME 4
NME2,ME 4
NME3,ME 3
NME4,ME 36
NMI,ME 47
NMNAT1,ME 10
NMNAT3,ME 2
NMRAL1,ME 12
NMRK1,ME 17
NMT1,ME 4
NMT2,ME 17
NNT,ME 2
NOB1,ME 6
NOC2L,ME 14
NOC3L,ME 14
NOC4L,ME 34
NOL10,ME 34
NOL11,ME 14
NOL6,ME 14
NOL7,ME 25
NOL8,ME 4
NOL9,ME 25
NOLC1,ME 14
NOM1,ME 6
NOMO1,ME 44
NOMO2,ME 43
NOMO3,ME 43
NONO,ME 4
NOP10,ME 6
NOP14,ME 14
NOP16,ME 6
NOP2,ME 4
NOP56,ME 6
NOP58,ME 6
NOP9,ME 22
NOSIP,ME 16
NOTCH1,ME 13
NOTCH2,ME 13
NOTCH4,ME 15
NPC1,ME 1
NPC2,ME 24
NPEPL1,ME 18
NPEPPS,ME 10
NPL,ME 5
NPLOC4,ME 21
NPM1,ME 6
NPM3,ME 6
NPRL2,ME 3
NPRL3,ME 2
NPTN,ME 9
NQO1,ME 19
NR2C2,ME 22
NR2C2AP,ME 1
NR2E3,ME 2
NR3C1,ME 10
NR3C2,ME 3
NRAS,ME 9
NRBF2,ME 19
NRBP1,ME 12
NRD1,ME 13
NRF1,ME 1
NRGN,ME 7
NRP1,ME 28
NSA2,ME 14
NSDHL,ME 13
NSF,ME 9
NSFL1C,ME 44
NSL1,ME 4
NSMAF,ME 4
NSMCE1,ME 3
NSMCE4A,ME 3
NSUN2,ME 11
NSUN4,ME 14
NSUN5,ME 1
NT5C,ME 4
NT5C2,ME 13
NT5C3A,ME 15
NT5E,ME 1
NTHL1,ME 6
NTMT1,ME 3
NTPCR,ME 2
NTRK1,ME 1
NUB1,ME 2
NUBP1,ME 2
NUBP2,ME 2
NUBPL,ME 2
NUCB1,ME 5
NUCKS1,ME 44
NUDC,ME 4
NUDCD1,ME 2
NUDCD3,ME 1
NUDT1,ME 2
NUDT16,ME 9
NUDT16L1,ME 2
NUDT18,ME 1
NUDT19,ME 1
NUDT21,ME 2
NUDT5,ME 3
NUDT8,ME 5
NUDT9,ME 3
NUFIP2,ME 18
NUMA1,ME 2
NUMB,ME 7
NUP107,ME 11
NUP133,ME 12
NUP153,ME 2
NUP155,ME 2
NUP160,ME 2
NUP188,ME 1
NUP205,ME 2
NUP210,ME 22
NUP214,ME 4
NUP35,ME 18
NUP37,ME 12
NUP43,ME 4
NUP50,ME 2
NUP54,ME 2
NUP62,ME 11
NUP85,ME 2
NUP88,ME 1
NUP93,ME 1
NUP98,ME 4
NUPL1,ME 2
NUPL2,ME 3
NUTF2,ME 4
NVL,ME 2
NXF1,ME 1
OARD1,ME 16
OAS1,ME 3
OAS2,ME 14
OAS3,ME 30
OASL,ME 17
OAT,ME 3
OBFC1,ME 3
OCIAD2,ME 25
ODF2,ME 21
OFD1,ME 1
OGDH,ME 30
OGFOD1,ME 1
OGT,ME 3
OLA1,ME 9
OLFM4,ME 20
OLR1,ME 20
OPA1,ME 2
OPTN,ME 17
OR7D2,ME 27
ORAI1,ME 1
ORC2,ME 6
ORC3,ME 16
ORC4,ME 1
ORC5,ME 2
ORM1,ME 8
ORM2,ME 8
OS9,ME 27
OSBP,ME 18
OSBPL1A,ME 7
OSBPL2,ME 9
OSBPL5,ME 29
OSBPL7,ME 1
OSBPL9,ME 41
OSCAR,ME 7
OSGEPL1,ME 3
OSTC,ME 3
OSTM1,ME 13
OTUB1,ME 18
OTUD7B,ME 1
OTULIN,ME 10
OVCA2,ME 3
OXCT1,ME 25
OXER1,ME 32
OXSM,ME 1
OXSR1,ME 12
P2RX1,ME 7
P2RX4,ME 5
P2RX7,ME 13
P2RY10,ME 15
P2RY13,ME 7
P2RY8,ME 1
P4HA1,ME 27
P4HB,ME 7
PA2G4,ME 14
PABPC1,ME 37
PABPC4,ME 43
PABPN1,ME 4
PACS1,ME 12
PACS2,ME 2
PACSIN1,ME 28
PACSIN2,ME 10
PADI2,ME 7
PAF1,ME 2
PAFAH1B1,ME 10
PAFAH1B2,ME 1
PAFAH1B3,ME 2
PAFAH2,ME 26
PAG1,ME 1
PAICS,ME 3
PAIP1,ME 4
PAIP1,ME 3
PAK1,ME 5
PAK1IP1,ME 14
PAK2,ME 13
PALLD,ME 35
PAN3,ME 9
PANK2,ME 1
PANK4,ME 12
PAPD4,ME 11
PAPOLA,ME 4
PAPSS1,ME 18
PAPSS2,ME 27
PARG,ME 11
PARK7,ME 2
PARL,ME 5
PARN,ME 3
PARP1,ME 6
PARP14,ME 1
PARP4,ME 12
PARP9,ME 1
PARS2,ME 2
PARVB,ME 5
PARVG,ME 10
PASK,ME 1
PATL1,ME 1
PAWR,ME 15
PAX5,ME 15
PAXBP1,ME 1
PAXIP1,ME 6
PBDC1,ME 2
PBK,ME 20
PBRM1,ME 2
PC,ME 11
PCBD1,ME 18
PCBD2,ME 9
PCBP1,ME 4
PCBP2,ME 4
PCBP2,ME 6
PCBP2,ME 6
PCBP2,ME 22
PCCA,ME 40
PCCB,ME 11
PCF11,ME 2
PCGF5,ME 22
PCID2,ME 1
PCK2,ME 3
PCM1,ME 3
PCMT1,ME 10
PCMTD1,ME 11
PCNA,ME 43
PCNT,ME 3
PCSK1N,ME 33
PCSK6,ME 19
PCTP,ME 7
PCYOX1,ME 21
PCYOX1L,ME 9
PCYT1A,ME 1
PCYT2,ME 1
PDAP1,ME 4
PDCD10,ME 12
PDCD11,ME 14
PDCD2L,ME 3
PDCD4,ME 6
PDCD5,ME 3
PDCD6,ME 12
PDCD6IP,ME 10
PDCL3,ME 3
PDE12,ME 11
PDE3B,ME 1
PDE4D,ME 8
PDE4DIP,ME 20
PDE4DIP,ME 3
PDE6D,ME 18
PDE6H,ME 9
PDE6H,ME 1
PDHA1,ME 11
PDHB,ME 11
PDHX,ME 3
PDIA3,ME 5
PDIA4,ME 38
PDIA5,ME 36
PDIA6,ME 38
PDK1,ME 1
PDK2,ME 2
PDK3,ME 21
PDK4,ME 5
PDLIM1,ME 23
PDLIM2,ME 2
PDLIM5,ME 18
PDLIM7,ME 7
PDP1,ME 11
PDPK1,ME 1
PDPR,ME 11
PDS5A,ME 22
PDS5B,ME 1
PDS5B,ME 1
PDXDC1,ME 36
PDXK,ME 9
PDXP,ME 9
PDZD4,ME 5
PEA15,ME 37
PEBP1,ME 6
PECAM1,ME 5
PECR,ME 17
PEF1,ME 12
PELP1,ME 11
PEPD,ME 18
PES1,ME 14
PEX11B,ME 12
PEX13,ME 19
PEX14,ME 3
PEX3,ME 3
PF4,ME 8
PFAS,ME 4
PFDN5,ME 4
PFDN6,ME 3
PFKFB2,ME 28
PFKFB2,ME 28
PFKFB4,ME 7
PFKL,ME 1
PFKM,ME 6
PFKM,ME 16
PFKP,ME 4
PFN1,ME 5
PFN1,ME 9
PFN2,ME 22
PGAM1,ME 7
PGAM5,ME 4
PGD,ME 7
PGK1,ME 2
PGLS,ME 42
PGLYRP1,ME 20
PGM1,ME 32
PGM2,ME 21
PGM2L1,ME 16
PGM3,ME 36
PGP,ME 42
PGPEP1,ME 20
PGRMC1,ME 5
PGS1,ME 7
PGS1,ME 3
PHACTR2,ME 39
PHACTR4,ME 1
PHAX,ME 6
PHB,ME 11
PHB2,ME 11
PHC3,ME 16
PHF1,ME 16
PHF1,ME 16
PHF11,ME 1
PHF12,ME 1
PHF2,ME 1
PHF20,ME 1
PHF23,ME 2
PHF3,ME 2
PHF5A,ME 6
PHF8,ME 3
PHGDH,ME 36
PHIP,ME 22
PHKA2,ME 32
PHKB,ME 9
PHKG2,ME 32
PHOSPHO1,ME 7
PHPT1,ME 19
PHYKPL,ME 2
PI4K2A,ME 2
PI4K2B,ME 2
PI4KA,ME 10
PI4KB,ME 2
PIAS1,ME 2
PICALM,ME 18
PICALM,ME 36
PIGG,ME 2
PIGK,ME 45
PIGN,ME 15
PIGO,ME 3
PIGS,ME 2
PIGT,ME 10
PIGU,ME 2
PIGX,ME 1
PIH1D1,ME 4
PIK3AP1,ME 19
PIK3C2B,ME 1
PIK3C3,ME 4
PIK3CA,ME 3
PIK3CB,ME 1
PIK3CD,ME 12
PIK3CG,ME 41
PIK3R1,ME 21
PIK3R4,ME 10
PIK3R5,ME 13
PIK3R6,ME 8
PIKFYVE,ME 15
PILRA,ME 7
PIN1,ME 4
PIN4,ME 4
PINX1,ME 6
PIP,ME 8
PIP4K2A,ME 1
PIP4K2B,ME 21
PIP4K2C,ME 21
PIP5K1C,ME 2
PITHD1,ME 21
PITPNA,ME 10
PITPNM1,ME 1
PITRM1,ME 11
PKLR,ME 20
PKM,ME 13
PKM,ME 13
PKN1,ME 10
PKNOX1,ME 6
PKP2,ME 11
PLA2G4A,ME 5
PLAA,ME 9
PLAC8,ME 5
PLAUR,ME 7
PLAUR,ME 20
PLCB2,ME 9
PLCB3,ME 36
PLCB4,ME 5
