gene,module
ARID3A,ME 19
ARID4A,ME 6
ARID4B,ME 6
ARIH1,ME 2
ARL1,ME 3
ARL14EP,ME 3
ARL2,ME 10
ARL2BP,ME 6
ARL3,ME 9
ARL6IP5,ME 1
ARL8A,ME 13
ARL8B,ME 5
ARMC1,ME 4
ARMC8,ME 10
ARPC1A,ME 24
ARPC1B,ME 10
ARPC2,ME 10
ARPC3,ME 13
ARPC4,ME 2
ARPC5,ME 10
ARPC5L,ME 25
ARR3,ME 2
ARRB1,ME 2
ARRB1,ME 26
ARRB2,ME 9
ARRDC1,ME 9
ARSA,ME 39
ARSB,ME 7
ARSD,ME 36
ARSK,ME 29
ASAH1,ME 26
ASAP1,ME 10
ASB2,ME 6
ASCC1,ME 2
ASCC2,ME 1
ASCC3,ME 2
ASH2L,ME 1
ASL,ME 7
ASMTL,ME 9
ASNA1,ME 31
ASNS,ME 6
ASPH,ME 36
ASPN,ME 33
ASRGL1,ME 7
ASS1,ME 33
ASUN,ME 12
ATAD2,ME 1
ATAD2B,ME 36
ATAD3A,ME 3
ATE1,ME 1
ATF1,ME 6
ATF2,ME 4
ATF3,ME 15
ATF7,ME 11
ATF7IP,ME 3
ATG12,ME 2
ATG13,ME 1
ATG16L2,ME 7
ATG2A,ME 2
ATG2B,ME 9
ATG3,ME 5
ATG4A,ME 11
ATG4B,ME 2
ATG4C,ME 15
ATG5,ME 12
ATG7,ME 13
ATHL1,ME 29
ATIC,ME 6
ATL1,ME 13
ATL3,ME 2
ATL3,ME 5
ATM,ME 1
ATP11A,ME 13
ATP11B,ME 9
ATP13A2,ME 28
ATP1A1,ME 30
ATP1B1,ME 1
ATP1B3,ME 30
ATP2A2,ME 37
ATP2A3,ME 1
ATP2B1,ME 1
ATP2B4,ME 39
ATP5A1,ME 11
ATP5B,ME 11
ATP5C1,ME 11
ATP5F1,ME 3
ATP5H,ME 40
ATP5I,ME 11
ATP5J,ME 3
ATP5L,ME 40
ATP5O,ME 4
ATP5S,ME 1
ATP6AP1,ME 9
ATP6V0A1,ME 19
ATP6V0A2,ME 13
ATP6V0C,ME 5
ATP6V0D1,ME 5
ATP6V0D2,ME 41
ATP6V1A,ME 5
ATP6V1B2,ME 5
ATP6V1C1,ME 13
ATP6V1D,ME 13
ATP6V1E1,ME 13
ATP6V1F,ME 5
ATP6V1G1,ME 5
