,scores,logfc
LRP4,0.1042668120258868,0.202405155
RBL2,0.1036131614623279,1.098601795
COL4A3BP,0.1035541238722858,1.762673986
PDILT,0.10277265929026,0.26720434
OPTN,0.1025126209370496,1.966045472
GNPDA1,0.1020781650842755,0.760366068
MERTK,0.101005539946658,0.324449686
HECTD3,0.0989040663311855,1.237639936
TBC1D31,0.0981439120131757,0.360600516
CDK6,0.0980242591223358,1.278195627
RNF152,0.0960393778301864,1.962370955
GTF3A,0.0953840137290909,0.539084399
MICU3,0.0947970111161176,0.236156867
LOR,0.0945861849091358,0.100609148
COX19,0.0941136186041825,3.647254559
CMBL,0.0937674630911868,6.083688606
IFIT3,0.09354740959476,0.268061963
DDAH1,0.0915967339090881,7.247523343
FNIP2,0.0914807257763181,0.867764362
TMEM14A,0.09139405389157,0.193818222
AAGAB,0.0909713406184641,0.463842911
CCDC73,0.0885782398005163,0.234625363
LECT2,0.0880312240580893,4.258714449
RTN4IP1,0.0878643161300082,0.836982512
DAAM1,0.0873590275507459,1.922150531
AKAP7,0.0854175456081214,0.364187418
SLC16A7,0.0850391436634336,2.388095639
DCLK3,0.0849680459987905,0.231729044
STARD5,0.0844061928005351,4.030660298
WEE1,0.0843950720795151,0.516437863
SP5,0.0835889887897381,0.108913119
PPL,0.0819670013334008,0.601909228
CBX8,0.0814302382548745,0.269583968
FAM126B,0.0813778479575824,3.30443622
ACAD10,0.0798536311284074,0.635634227
PYROXD1,0.0793803944429931,0.365455371
HES6,0.0785866028937985,3.744122516
B4GALT5,0.0768352130025398,1.917336932
AIFM2,0.076420528070323,0.830719481
TIMM9,0.0754350441249506,2.083943869
FBXL18,0.0739000914513644,0.253558658
ARL6IP1,0.0732774649264461,18.59044407
TOR1A,0.0730747081482414,2.962151738
KDM6B,0.072804707328939,0.851437103
TFB2M,0.072277900424255,1.863011376
ASIC5,0.0718151814763376,0.136673373
LMTK2,0.0717971049696105,0.423687697
CGREF1,0.0703778720177248,0.144429376
CHN2,0.0701951104452186,1.89046405
PER2,0.0695470174837212,0.663580976
SYDE2,0.0682721281992405,0.280333651
HSD17B10,0.0677825444989563,5.456431786
DHRS1,0.0673354617185784,6.12717936
ZMYND19,0.067218118252337,0.387771861
PER3,0.0662996117556488,0.655456858
FAM13A,0.0657834643990923,0.894721041
TSKU,0.0656438153753267,1.565046232
VPS51,0.0655570169587243,0.172655598
UFSP1,0.0651295683387377,0.189716508
MCUR1,0.0651100385512615,2.491410347
SLC25A5,0.0650980494815543,24.28511404
CDK1,0.0644183026266317,0.120222122
APPL2,0.0635722752892061,0.332400074
TMEM69,0.0634948936724405,0.225919199
RASSF3,0.0627686768150977,3.590873217
PMM1,0.0626343953657656,0.138056362
TRIM37,0.0624837925236425,0.265212475
FAM131C,0.0617773994611566,0.293659165
HIST3H2A,0.0617456349209442,0.334100565
SLC6A9,0.0616246809743536,1.443295109
LONRF1,0.0616088114536739,0.506482672
ARHGEF40,0.0613679468502495,0.199146593
TEN1,0.0609450185801551,0.187738045
GMNN,0.0608980633839465,0.375761354
FBXW4,0.0607821638519713,0.492075246
ENTPD5,0.0601839160048773,5.505496509
CRIM1,0.0598203765053975,0.675148269
KREMEN1,0.059504519954126,0.420807287
SUN2,0.0594304139485974,1.723804954
SLC35E3,0.0586527013934389,0.689760793
DEFB1,0.0584573632070994,0.299038148
VPS33B,0.0573100972521101,0.253128513
CCDC181,0.0539446433051013,0.18977504
