fpr,tpr,threshold
0.202293836194765,0.4576271186440678,0.40866443733987506
0.202293836194765,0.4661016949152542,0.40855810504115236
0.20686743596960316,0.4661016949152542,0.40478609608149313
0.20686743596960316,0.4745762711864407,0.40474526424807744
0.20876723895299748,0.4745762711864407,0.4035044014910093
0.20876723895299748,0.4830508474576271,0.4034406515504567
0.2255840135097101,0.4830508474576271,0.3906566309012177
0.2255840135097101,0.4915254237288136,0.3906298023116399
0.22867998874190826,0.4915254237288136,0.3878410668474404
0.22867998874190826,0.5,0.38778980773630517
0.23747537292428933,0.5,0.382018599194425
0.23747537292428933,0.5084745762711864,0.38197838977603615
0.2535885167464115,0.5084745762711864,0.37106324496024123
0.2535885167464115,0.5169491525423728,0.37103971730770213
0.26160990712074306,0.5169491525423728,0.3669156283302258
0.26160990712074306,0.5254237288135594,0.36691193948652306
