0,score,known
TXNRD3,0.8058781940665107,0
CD36,0.8056762960954985,1
ESR2,0.8051470744734212,1
CBR1,0.8044581328022744,0
SCD5,0.8044501289839685,0
NCOA2,0.8043941975806886,1
GGT1,0.8042364151357765,0
TNFRSF21,0.80419968392185,0
RORC,0.8036900203326206,0
TTR,0.8033318123232657,0
FOXO3,0.802819413718357,0
ACSBG2,0.8025827978904219,0
FAM198B,0.8021471775550366,0
APOM,0.8019499607686755,1
CXCL8,0.8015343916654293,1
PEX5L,0.8014648090891798,0
CYP27B1,0.8010612510017484,0
ADH6,0.8005743346180488,0
UGT2B4,0.7999699926151667,0
ALAS1,0.7996923756922268,0
ACSM2A,0.7985290947452467,0
IGFBP1,0.7981134085731045,0
LY96,0.7977377587593324,0
CYP7A1,0.7974562104793022,0
SAA4,0.7973402555827236,1
CCL3L3,0.7969377278343321,0
MAPK3,0.7957012050071861,1
NUDT19,0.7956409093251704,0
S100A10,0.7952619209963565,0
ALOX12B,0.7950012577484912,0
GRHPR,0.7949260909007162,0
OSMR,0.7948119986886811,0
CCL11,0.7948060036558633,0
PNPLA4,0.7933579494675027,0
AKR7A2,0.7933023360030135,0
CARD9,0.7932756983361686,0
FOXO1,0.7932266310311031,1
OSM,0.7929295929858509,0
PRRT2,0.7927756141565192,0
CD40LG,0.7927573512076808,1
IRAK3,0.792681916539033,0
ALDH1A1,0.7913745178220094,1
MMP2,0.7910406099737937,0
CEL,0.7909397597058758,0
NAIP,0.7906034896197743,0
FMO4,0.7904815953170967,0
FASN,0.7895642445613693,1
CYP2F1,0.7894390002022904,0
IGFALS,0.7890313053448216,0
SIM2,0.7887246329425807,0
ALDH7A1,0.7887126610949264,0
PRKCA,0.7879239042630815,1
LRPAP1,0.7878317527435714,1
SMARCD3,0.7875049761096862,0
DUSP8,0.7867556249725944,0
ABCC6,0.7864571533817851,0
CLU,0.7860838356344906,1
MAPK1,0.7853806461259097,0
HSPG2,0.7853185385866165,0
ACSM5,0.7853101116515956,0
IRS2,0.7849261271723785,1
ANGPT1,0.7845808819999416,0
LRAT,0.784191661857509,0
IGFBP3,0.7841601464252753,0
CNTF,0.7829715353836684,0
ACOT4,0.7828373911222587,0
ENSG00000173366,0.7822588424802038,0
ABCD1,0.7818820597713908,0
ACSL4,0.7817723196254812,1
BCO1,0.7816129165572144,0
ARG2,0.7814350187825881,0
IL37,0.7811389778065155,0
BCL2L1,0.7810919239717989,0
CPA3,0.7803882892493185,0
TNFRSF9,0.7790206537917448,0
GPC1,0.7785164016073302,0
PDXP,0.778131292459175,0
IL18R1,0.7780529048104046,0
RETSAT,0.7772010788443957,0
PRDX1,0.7768043214862601,0
TSSK4,0.7767065778568756,0
SERPINB9,0.7764862358384857,0
ANGPTL3,0.7754323577530412,0
IL1RL1,0.7752495565536959,0
PEX3,0.7750679946373843,0
JAK3,0.7749220466382957,0
TIRAP,0.7744714320362859,0
SMOX,0.7743854905241776,0
CDH2,0.7740617032463986,0
ABCB11,0.773189991150539,0
COMT,0.7723412271230795,0
BAAT,0.7719319491300835,0
ALDH2,0.7719024736881618,1
MRC1,0.7716458460112743,0
FGA,0.7711863655172959,1
QSOX1,0.7708303747971368,1
VDR,0.7703323882964821,0
DHRS9,0.7702914814348706,0
ERN1,0.7700487469577457,0
AGMAT,0.7700204258836904,0
CCL26,0.7697726951348989,0
TNFSF11,0.769597322701057,0
ECI2,0.7693437737624448,0
SLC25A29,0.7691299586300097,0
PEX11B,0.7690507386037633,0
IL15,0.7690182725406148,0
FGF13,0.7686071230930596,0
APOL1,0.7684992484914009,0
IL2RA,0.7683923219988118,0
SLC25A17,0.7681810674071531,0
IL6ST,0.7681780551487177,1
MAP2K3,0.7680150943745968,0
HIGD1A,0.7679944433556714,0
CD69,0.7675946099974278,0
